Features[1, 2, 3, 4], 4 features
Initial linear-valued hyperparameters | Optimal hyperparameters | Logp | RMSE
1.112e-01 1.063e+03 8.802e-03 1.141e+00 5.550e-02 2.101e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
7.279e+00 1.963e-05 4.405e-01 9.733e-02 3.141e+01 1.605e+00 | 1.054e+00 1.963e-05 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
8.550e+01 2.227e-03 4.767e+01 5.586e+04 2.581e-01 3.044e+00 | 1.198e+00 7.113e-01 2.134e+00 5.586e+04 2.570e+00 1.903e-01 | -327.28 | 10.051
2.095e+00 1.569e+04 1.574e-05 6.464e-05 8.470e-04 2.775e-01 | 9.080e-01 1.569e+04 1.574e-05 6.464e-05 8.470e-04 9.202e-02 | -676.834 | 2.194
1.566e-01 1.727e+03 1.176e-04 9.467e-01 1.531e-02 6.127e-01 | 1.030e+00 5.166e-01 1.080e-03 1.681e+02 3.140e+04 7.201e-09 | -664.405 | 0.0
1.183e+00 1.290e+00 2.523e+00 2.476e-04 1.629e-02 1.064e+00 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
2.347e+01 1.249e-01 2.740e-01 1.352e+04 1.591e+00 1.147e+01 | 1.198e+00 7.113e-01 2.134e+00 1.352e+04 2.570e+00 1.903e-01 | -327.28 | 10.051
3.276e+01 2.580e+00 2.144e-04 6.745e+03 8.096e-04 2.284e+00 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.986e+00 1.720e-01 | -313.948 | 9.456
2.952e+01 6.966e+03 1.982e+03 4.753e+00 1.204e+04 2.518e-01 | 1.284e+00 7.183e-01 2.221e+00 3.044e+00 1.198e+04 1.879e-01 | -321.606 | 10.027
6.634e+00 8.338e+04 2.503e+01 1.172e+00 5.326e+00 4.157e+00 | 1.281e+00 8.337e+04 1.182e+00 3.544e-01 9.455e-01 3.908e-01 | -514.149 | 14.106
1.616e-01 1.922e+01 2.852e+02 1.174e+02 7.894e+01 5.841e+01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
3.549e+00 3.454e-05 1.755e-01 5.892e+01 3.245e+01 1.394e+01 | 1.054e+00 3.454e-05 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
1.089e+01 6.233e-02 1.279e-05 9.843e-04 1.118e+03 4.522e+00 | 6.985e-01 1.000e-05 6.428e+01 3.885e-05 1.000e+05 3.015e-01 | -676.834 | 7.188
8.796e-01 8.732e-05 5.858e-05 1.241e+03 6.633e-05 9.458e+01 | 9.215e-01 7.336e+00 7.240e+04 1.018e-04 1.069e-03 7.854e-02 | -676.834 | 1.873
4.474e-01 4.119e-04 2.908e+03 1.129e+04 1.668e-03 4.309e-01 | 9.890e-01 4.119e-04 2.908e+03 1.129e+04 1.764e-02 2.326e-03 | -664.164 | 0.094
