SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius, Yield Stress 
001,0.981,0.037,-0.0003368,2.58e-07,196151.2,18627.5222,78.674,0.3752,1.0,5.6,83.6,5.6,58.4,4.8,52.8,45.5282,33.2002,27.0684,45.5282,33.2002,27.0684,53.3428,36.0634,18.93,21.7012,1.61696776,-7.0612,1.6332,4.277,2.6142,27.0,25.8,36.2,31.7336,127.61492919921876
002,0.765,0.079,-0.001,-4.77e-06,115494.0755,16534.49591,86.06324528,0.285264151,-0.018867925,77.22641509,143.9811321,59.26415094,127.1698113,67.0,131.4528302,111.4704717,93.91330189,99.55211321,111.4704717,93.91330189,99.55211321,41.29118868,29.85935849,21.16815094,-0.342132075,12.56013208,-19.15307547,1.424867925,2.147811321,1.526320755,111.5471698,92.98113208,98.09433962,21.13201887,80.36544036865234
003,0.838,0.049,-0.0005148,-1.31e-05,167305.775,14759.28335,78.969225,0.2942,-1.4,110.475,160.375,84.3,140.925,54.55,109.175,135.097075,112.544975,81.049175,135.097075,112.544975,81.049175,34.0574,23.291475,16.748725,2.894725,5.1483,12.102025,1.59905,2.28785,1.44805,133.175,112.15,80.15,19.1167,104.76985931396484
004,0.696,0.174,-0.001,-1.3e-05,26525.27619,7850.852614,63.08901429,0.189638095,-0.1,67.9952381,114.5857143,78.96666667,127.2857143,79.6047619,125.0666667,91.35632857,102.9940857,102.173081,91.35632857,102.9940857,102.173081,29.16371905,19.12298095,13.9063619,7.203480952,1.389238095,-0.15927619,1.557342857,2.20732381,1.425909524,90.68571429,102.8333333,101.9095238,8.931747619,72.77261352539062
005,0.591,0.077,-0.0003496,4.33e-07,234718.8257,35898.65864,96.475952,0.169632,0.12,137.741256,217.787792,156.228248,229.794,133.391296,260.081328,177.798584,192.68224,194.71828,177.798584,192.68224,194.71828,70.536832,36.752576,24.653944,1.231872,5.143024,11.642512,1.920408,3.023328,1.56884,177.31628,191.747352,189.190184,16.106288,25.05510139465332
006,0.873,0.08,-0.001,-9.33e-06,122496.4386,15728.63554,83.75242105,0.317350877,-0.631578947,65.12280702,127.6315789,75.12280702,141.245614,71.0,131.9824561,96.00126316,108.4019649,101.2008772,96.00126316,108.4019649,101.2008772,39.74222807,28.25957895,20.1,11.14603509,9.236929825,-8.141157895,1.469666667,2.116561404,1.442350877,95.52631579,107.9649123,100.0877193,21.7134386,71.40916442871094
007,0.676,0.044,-1.64e-05,1.25e-06,163790.3333,15158.05258,70.28793939,0.539636364,0.939393939,57.60606061,120.030303,64.51515152,129.6363636,72.90909091,137.1515152,89.11848485,97.24560606,105.1459394,89.11848485,97.24560606,105.1459394,39.58275758,35.11287879,22.3240303,15.30139394,-1.167181818,-7.718545455,1.201878788,2.431666667,2.030757576,89.12121212,95.90909091,104.0,31.18175758,23.50018119812012
008,0.497,0.065,-0.0005687,-1.17e-06,70107.04167,12551.91917,73.81941667,0.2555,0.416666667,35.16666667,98.70833333,47.58333333,104.0833333,36.5,90.625,64.474375,75.71920833,63.99416667,64.474375,75.71920833,63.99416667,37.43316667,24.857875,17.895875,-14.10570833,4.081291667,18.156875,1.563125,2.282041667,1.463458333,61.20833333,76.25,63.125,18.59720833,39.34928512573242
009,0.543,0.134,-0.0008069,4.42e-06,23474.05128,6970.861641,56.63178205,0.213538462,0.833333333,49.87179487,93.6025641,47.66666667,91.82051282,54.55128205,98.69230769,71.1655,69.62029487,76.20333333,71.1655,69.62029487,76.20333333,28.90103846,17.84717949,12.976,1.138025641,13.61297436,-1.799051282,1.651871795,2.341487179,1.435730769,70.66666667,68.33333333,74.55128205,8.713730769,61.47843170166016
010,0.853,0.055,-0.0006741,2.65e-07,144065.5,15461.876,77.7219,0.40135,0.9,50.5,106.8,41.3,108.4,43.85,107.5,78.7375,74.4097,76.19185,78.7375,74.4097,76.19185,43.97025,29.66965,20.29285,-10.47915,-2.8254,-18.56785,1.50585,2.43795,1.593,76.6,73.1,76.15,27.81675,59.93230056762695
