SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius, Yield Stress 
Scan001_002,0.83,0.046,-0.0006433,0.0,165890.6,18778.7322,88.8824,0.462,0.8,22.2,89.4,17.6,86.4,13.6,86.6,56.0074,48.7008,49.423,56.0074,48.7008,49.423,46.7662,35.1788,27.8198,67.6654,53.5086,39.8062,1.3266,1.6928,1.2684,60.8,47.4,49.6,46.0666,98.27325439453124
Scan001_005,0.566,0.057,-4.01e-05,-3.35e-06,56962.2,9497.2415,67.4653,0.3062,0.4,31.3,85.0,16.6,67.9,41.4,86.5,57.3381,43.2836,64.6703,57.3381,43.2836,64.6703,33.4044,23.4676,15.662,3.3503,-9.551,-18.2299,1.9333,3.274,1.6402,54.5,43.6,68.9,22.3332,7.708827972412109
Scan001_006,0.893,0.059,-0.001,-2.58e-06,111500.0,14173.482,76.405875,0.318375,0.5,15.25,80.125,17.5,79.375,27.875,80.0,49.07775,46.813625,53.388625,49.07775,46.813625,53.388625,41.84575,30.519,19.297125,-2.71,-5.224,41.938875,1.4175,2.545375,1.841375,55.875,49.5,53.75,30.625,91.87262725830078
Scan001_008,0.792,0.049,-0.0005713,-1.68e-06,132365.6667,16740.6635,85.02266667,0.404666667,0.5,20.0,89.16666667,16.66666667,79.66666667,18.16666667,88.5,57.54416667,46.416,56.3665,57.54416667,46.416,56.3665,46.5125,32.17316667,24.41566667,31.03233333,-1.026,-0.559,1.457,1.902333333,1.312,61.5,43.83333333,59.33333333,38.5,51.71969985961914
Scan001_011,0.874,0.047,-0.0006877,-3.99e-06,218707.25,25005.54875,103.6605,0.308,0.75,10.0,92.5,17.25,98.25,7.75,83.0,56.15425,54.0175,47.104,56.15425,54.0175,47.104,62.90125,38.6225,26.71825,44.41525,23.7135,-14.60375,1.66275,2.53975,1.519,64.5,35.5,59.25,41.25,83.13317108154297
Scan001_012,0.999,0.000459,-8.99e-06,1.29e-07,998743.0,55404.86,137.063,0.663,0.0,0.0,100.0,0.0,100.0,0.0,100.0,50.055,49.942,50.055,50.055,49.942,50.055,64.59,64.589,64.301,66.97,-29.955,-49.203,1.0,1.004,1.004,99.0,0.0,99.0,153.0,101.13339233398438
Scan001_015,0.903,0.062,-0.001,-5.8e-06,90274.8,11864.486,70.8815,0.3245,0.2,34.5,92.8,27.4,80.3,19.2,76.0,64.5092,55.4513,47.4509,64.5092,55.4513,47.4509,39.3241,27.3251,17.4131,-4.8886,-10.9483,-6.6075,1.5224,2.6275,1.6918,54.4,53.4,43.4,24.6667,80.18476104736328
Scan001_016,0.859,0.043,-0.0004813,-1.03e-06,171799.2,18590.1218,86.8334,0.3978,0.6,8.8,79.0,20.0,82.0,4.6,64.0,45.3674,55.1674,38.6568,45.3674,55.1674,38.6568,41.7882,33.1172,21.1104,-9.3316,4.6474,3.0188,1.2636,1.982,1.5774,48.6,51.0,46.6,33.3332,66.48474884033203
Scan001_018,0.768,0.046,-0.0003606,-1.29e-07,96267.25,11842.49113,65.473,0.398,0.875,18.125,75.5,11.5,61.0,27.125,75.5,50.148625,39.220875,50.67075,50.148625,39.220875,50.67075,37.201875,28.9135,16.076625,18.420375,-18.331125,-41.0255,1.4285,2.478375,1.836625,49.625,42.625,51.375,27.375,60.82290267944336
Scan001_020,0.959,0.037,-0.0009778,-3.48e-06,191483.8,18500.14,78.94,0.4198,1.0,15.0,78.8,8.8,70.0,17.4,85.4,45.2,39.1418,52.3994,45.2,39.1418,52.3994,45.596,31.5198,23.6568,28.0088,1.4324,-9.1752,1.473,2.0574,1.4164,41.4,32.8,47.0,38.2668,111.09673309326172
Scan001_023,0.909,0.047,-0.0009437,-6.44e-06,113442.375,12381.90375,66.62125,0.359,0.125,10.375,56.875,19.25,61.375,26.375,75.25,33.39275,41.009,50.79375,33.39275,41.009,50.79375,32.504125,23.130875,15.746375,3.87975,-5.248625,-2.0355,1.936875,2.932875,1.52025,38.25,42.375,52.75,27.875,74.49903869628906
Scan001_024,0.811,0.039,-0.0003086,-1.03e-06,202830.5,21539.72575,91.4475,0.38525,0.75,33.25,91.5,11.5,72.75,1.75,94.25,58.36425,43.098,50.17075,58.36425,43.098,50.17075,57.00875,37.0955,22.8765,-44.02525,-37.757,46.02125,1.80675,2.6415,1.56775,49.5,46.25,56.25,41.41675,63.72073745727539
Scan001_027,0.889,0.063,-0.001,-6.44e-07,98642.44444,12859.85167,71.24688889,0.424111111,1.0,27.55555556,84.66666667,15.33333333,67.22222222,17.0,74.44444444,55.04244444,39.76244444,48.30144444,55.04244444,39.76244444,48.30144444,39.14077778,27.231,20.11233333,3.094111111,-25.505,27.99677778,1.462111111,2.103777778,1.431666667,51.77777778,34.55555556,46.77777778,27.48144444,91.5741195678711
Scan001_029,0.905,0.034,-0.0004585,1.16e-06,301268.3333,27905.74467,103.7756667,0.376,1.0,26.0,95.66666667,13.33333333,84.66666667,0.0,100.0,66.19466667,51.42333333,50.58066667,66.19466667,51.42333333,50.58066667,65.519,42.78766667,28.664,12.673,13.47666667,12.42433333,1.625,2.687,1.588333333,66.0,59.0,47.66666667,51.0,73.36787414550781
Scan001_030,0.942,0.059,-0.001,-1.11e-05,157002.6667,19714.15367,94.96783333,0.3255,-0.833333333,7.5,83.66666667,11.66666667,86.0,26.16666667,92.66666667,44.19583333,46.226,55.89716667,44.19583333,46.226,55.89716667,55.6675,37.79366667,22.74666667,45.74783333,19.75033333,29.44633333,1.521666667,3.252666667,2.238166667,34.83333333,34.16666667,42.83333333,32.9445,102.44187927246094
Scan001_033,0.852,0.038,-0.0002617,6.7e-06,212281.25,20167.828,75.75375,0.313,2.0,0.0,56.25,13.5,68.5,2.5,81.5,25.7265,41.30525,38.622,25.7265,41.30525,38.622,44.90825,33.174,21.82925,34.282,24.94975,38.64425,1.5055,2.54275,1.71125,24.75,40.5,34.75,26.66675,42.98421096801758
Scan001_034,0.753,0.051,-0.0002871,3.22e-06,94127.625,11906.61812,72.584125,0.330375,1.125,12.875,63.5,22.25,79.625,10.125,68.0,37.34175,47.92725,40.533375,37.34175,47.92725,40.533375,38.465625,26.33325,16.2285,8.556375,1.1585,30.640875,1.5015,2.551125,1.733625,39.75,40.75,37.625,22.666625,71.13758087158203
Scan001_037,0.931,0.042,-0.0009623,-1.03e-05,185981.0,19423.845,89.9464,0.3672,-0.2,26.2,89.2,2.4,76.0,23.8,90.2,56.2984,35.442,58.8028,56.2984,35.442,58.8028,45.8222,36.0392,23.4738,-34.3974,11.3734,8.8444,1.3394,2.2056,1.6254,57.6,40.6,55.8,36.6002,83.89064025878906
Scan001_039,0.878,0.037,-0.0004913,-4.25e-06,175349.0,17228.319,76.9404,0.3332,0.0,1.8,64.4,20.8,81.4,17.4,78.0,29.969,50.1022,49.5986,29.969,50.1022,49.5986,41.2162,29.4176,20.7342,-24.3986,-3.4968,24.2502,1.543,2.6,1.6506,26.8,54.2,48.6,33.8,59.43665313720703
Scan001_041,0.669,0.042,-0.0001801,-2.58e-06,168109.25,21444.0665,96.697,0.30725,0.0,13.25,82.5,12.75,93.25,0.0,84.25,48.4235,46.19925,41.03175,48.4235,46.19925,41.03175,54.5905,40.0215,24.5885,15.135,17.48525,46.3365,1.36775,2.283,1.7005,44.5,39.75,38.25,41.25,42.70182800292969
Scan001_042,0.587,0.039,-9.53e-05,-1.68e-06,73534.75,9273.87025,56.167125,0.387375,0.5,32.0,79.875,35.875,76.375,15.75,56.25,54.536375,53.493625,35.894625,54.536375,53.493625,35.894625,28.716625,20.143,13.93525,-22.745875,8.4405,25.250375,1.4745,2.21975,1.518875,52.25,46.375,35.625,21.66675,43.4465217590332
Scan001_045,0.866,0.032,-0.0003095,-3.48e-06,287314.3333,24416.80267,92.71233333,0.400666667,-1.0,4.666666667,94.0,42.33333333,97.33333333,6.666666667,87.33333333,45.67966667,71.50033333,48.30233333,45.67966667,71.50033333,48.30233333,53.79733333,42.01166667,27.006,2.717,-41.264,73.923,1.325333333,2.895333333,2.272666667,22.66666667,66.0,44.0,42.33333333,62.65704727172852
Scan001_046,0.64,0.04,-0.0001938,-1.93e-06,91941.14286,11825.46671,65.22457143,0.339142857,0.571428571,6.428571429,58.42857143,25.0,76.42857143,32.0,80.71428571,36.23528571,51.17585714,57.30685714,36.23528571,51.17585714,57.30685714,37.98085714,24.89028571,15.03657143,36.97714286,4.970571429,-18.136,1.625142857,3.456571429,2.061285714,48.71428571,51.0,53.57142857,26.381,41.78085708618164
Scan001_051,0.93,0.058,-0.00088,-3.35e-06,132982.0,16601.05729,80.68628571,0.321571429,0.428571429,3.571428571,62.85714286,16.85714286,72.28571429,12.28571429,85.14285714,33.36514286,43.27485714,49.14971429,33.36514286,43.27485714,49.14971429,48.346,35.97485714,17.71442857,11.05957143,-42.90757143,-20.97471429,1.400857143,3.289428571,2.456714286,38.28571429,41.85714286,53.57142857,30.80942857,96.0579071044922
Scan001_052,0.97,0.051,-0.001,-1.42e-06,161783.8333,18601.26133,88.70633333,0.3935,0.666666667,25.66666667,87.0,10.83333333,87.5,4.333333333,79.83333333,56.074,50.12033333,38.903,56.074,50.12033333,38.903,55.235,34.49516667,23.256,42.70333333,-22.53716667,-70.361,1.689333333,2.5905,1.5705,43.5,38.66666667,24.16666667,36.5,113.43296813964844
Scan001_055,0.961,0.038,-0.001,-5.15e-07,319507.3333,30801.079,114.3896667,0.305333333,0.666666667,0.666666667,99.33333333,25.0,99.66666667,9.0,100.0,51.46533333,63.281,51.277,51.46533333,63.281,51.277,61.87966667,50.84666667,28.00033333,18.873,-24.99833333,22.99633333,1.215666667,3.033,2.509666667,64.66666667,49.66666667,35.66666667,45.55566667,110.00798797607422
Scan001_056,0.904,0.036,-0.0007523,-4.51e-06,301265.6667,29600.321,109.2076667,0.393,-0.333333333,7.666666667,82.0,10.66666667,100.0,5.333333333,91.33333333,49.20133333,55.114,48.63533333,49.20133333,55.114,48.63533333,60.34533333,48.136,30.178,-2.823666667,36.76766667,-10.08966667,1.273,2.092333333,1.723666667,63.0,45.0,32.0,53.66666667,93.60636901855467
Scan001_058,0.981,0.013,-0.0002073,6.44e-07,326770.0,22525.281,82.23566667,0.442666667,1.0,6.333333333,81.33333333,0.0,73.33333333,48.33333333,100.0,40.06666667,33.40666667,75.91033333,40.06666667,33.40666667,75.91033333,46.59533333,35.20766667,27.06833333,-19.043,-14.33066667,-35.90866667,1.683,2.338,1.398333333,50.0,46.0,66.0,55.222,101.12925720214844
Scan001_063,0.93,0.063,-0.0009233,-4.12e-06,116358.5,15073.902,77.425625,0.407125,0.375,17.75,76.25,10.0,72.75,29.5,90.875,47.84975,39.277875,58.8345,47.84975,39.277875,58.8345,45.759875,31.41025,21.43175,-35.5285,-2.502875,-49.8495,1.493875,2.341,1.588125,54.0,32.5,52.75,32.041625,106.58324432373048
Scan001_064,0.958,0.053,-0.0008351,-2.06e-06,119835.625,14035.38075,72.080125,0.482,0.625,26.5,86.875,18.125,74.75,38.875,88.75,56.33025,45.81775,64.444,56.33025,45.81775,64.444,39.538125,31.506375,22.623,26.53325,12.834,-20.422125,1.265125,1.77075,1.4065,52.0,43.0,60.0,34.7915,107.8434600830078
Scan001_067,0.97,0.025,-0.0008806,-3.87e-07,484397.0,40341.1135,124.304,0.398,1.0,4.0,98.5,0.0,100.0,0.0,100.0,46.663,52.1605,52.7825,46.663,52.1605,52.7825,66.114,59.2435,37.3815,-7.935,-32.4685,31.524,1.116,1.7825,1.598,49.5,75.0,49.5,69.1665,109.54093933105467
