SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
Scan001_001,0.756,0.028,-0.0003643,3.35E-06,251754.3333,251754.3333,23216.39167,86.92966667,0.361666667,1.333333333,4.333333333,74,0,68.66666667,36.33333333,98.66666667,40.81566667,28.52433333,66.48333333,40.81566667,28.52433333,66.48333333,45.743,35.157,25.34833333,47.91766667,15.4,-11.537,1.451666667,2.405333333,1.598333333,28.66666667,0,64,30.55533333
Scan001_002,0.83,0.046,-0.0006433,0,165890.6,165890.6,18778.7322,88.8824,0.462,0.8,22.2,89.4,17.6,86.4,13.6,86.6,56.0074,48.7008,49.423,56.0074,48.7008,49.423,46.7662,35.1788,27.8198,67.6654,53.5086,39.8062,1.3266,1.6928,1.2684,60.8,47.4,49.6,46.0666
Scan001_003,0.968,0.024,-0.0003828,-5.80E-06,483548,483548,38759.432,131.3985,0.356,-0.5,35,99,0,100,0,100,65.2575,52.891,52.1275,65.2575,52.891,52.1275,64.3535,60.154,32.941,-80.0335,6.42,1.7795,1.0725,2.8675,2.62,49.5,49,44.5,59.833
Scan001_004,0.906,0.029,-0.0004197,-1.29E-06,301589.3333,301589.3333,25970.233,94.836,0.345666667,0.333333333,28.33333333,97.66666667,0,65.66666667,8.666666667,100,60.72966667,35.011,62.641,60.72966667,35.011,62.641,55.40366667,43.14333333,25.64866667,-48.807,26.72633333,105.7646667,1.328666667,3.155,2.305,39,43.66666667,83.66666667,37.77766667
Scan001_005,0.566,0.057,-4.01E-05,-3.35E-06,56962.2,56962.2,9497.2415,67.4653,0.3062,0.4,31.3,85,16.6,67.9,41.4,86.5,57.3381,43.2836,64.6703,57.3381,43.2836,64.6703,33.4044,23.4676,15.662,3.3503,-9.551,-18.2299,1.9333,3.274,1.6402,54.5,43.6,68.9,22.3332
Scan001_006,0.893,0.059,-0.001,-2.58E-06,111500,111500,14173.482,76.405875,0.318375,0.5,15.25,80.125,17.5,79.375,27.875,80,49.07775,46.813625,53.388625,49.07775,46.813625,53.388625,41.84575,30.519,19.297125,-2.71,-5.224,41.938875,1.4175,2.545375,1.841375,55.875,49.5,53.75,30.625
Scan001_007,0.847,0.064,-0.0009101,6.44E-07,77106.90909,77106.90909,10732.87082,63.95709091,0.406272727,0.818181818,31.81818182,82.81818182,33.09090909,82,37.63636364,89.54545455,57.07272727,58.09927273,63.68,57.07272727,58.09927273,63.68,33.86409091,25.92727273,16.687,-23.57290909,-2.279727273,36.611,1.380181818,2.313909091,1.710727273,58,59.90909091,65.54545455,24.21209091
Scan001_008,0.792,0.049,-0.0005713,-1.68E-06,132365.6667,132365.6667,16740.6635,85.02266667,0.404666667,0.5,20,89.16666667,16.66666667,79.66666667,18.16666667,88.5,57.54416667,46.416,56.3665,57.54416667,46.416,56.3665,46.5125,32.17316667,24.41566667,31.03233333,-1.026,-0.559,1.457,1.902333333,1.312,61.5,43.83333333,59.33333333,38.5
Scan001_009,0.953,0.01,-0.000114,1.29E-07,475782.5,475782.5,29871.2055,97.3215,0.501,1,0,64.5,15.5,100,0,76.5,31.629,63.131,34.3545,31.629,63.131,34.3545,51.7905,42.377,36.124,87.436,-35.809,133.364,1.4385,1.7625,1.2075,42.5,39.5,51,70.833
Scan001_010,0.949,0.027,-0.0007346,-1.42E-06,315761.3333,315761.3333,26566.33267,89.87966667,0.402333333,0,26.33333333,100,6,77,33,100,63.15233333,39.21633333,68.46433333,63.15233333,39.21633333,68.46433333,50.12366667,41.34266667,27.37566667,34.45666667,-0.522333333,38.45866667,1.301,2.103,1.596333333,33.66666667,33.33333333,66,48.99966667
Scan001_011,0.874,0.047,-0.0006877,-3.99E-06,218707.25,218707.25,25005.54875,103.6605,0.308,0.75,10,92.5,17.25,98.25,7.75,83,56.15425,54.0175,47.104,56.15425,54.0175,47.104,62.90125,38.6225,26.71825,44.41525,23.7135,-14.60375,1.66275,2.53975,1.519,64.5,35.5,59.25,41.25
Scan001_012,0.999,0.000459,-8.99E-06,1.29E-07,998743,998743,55404.86,137.063,0.663,0,0,100,0,100,0,100,50.055,49.942,50.055,50.055,49.942,50.055,64.59,64.589,64.301,66.97,-29.955,-49.203,1,1.004,1.004,99,0,99,153
